Station Name,Station Code,State,
Abada,ABB,West Bengal,
Argora,AOR,Jharkhand,
Abhaipur,AHA,Bihar,
Acharya Narendra Dev,ACND,Uttar Pradesh,
Abhayapuri,AYU,Assam,
Abohar,ABS,Punjab,
Abu Road,ABR,Rajasthan,
Acharapakkam,ACK,Tamil Nadu,
Achalganj,ACH,Uttar Pradesh,
Achalpur,ELP,Maharashtra,
Achhalda,ULD,Uttar Pradesh,
Achhnera Junction,AH,Uttar Pradesh,
Adarshnagar,AHO,Rajasthan,
Adarshnagar Delhi,ANDI,Delhi,
Adas Road,ADD,Gujarat,
Adesar,AAR,Gujarat,
Adgaon Buzurg,ABZ,Maharashtra,
Adilabad,ADB,Telangana,
Adipur,AI,Gujarat,
Adityapur,ADTP,Jharkhand,
Adoni,AD,Andhra Pradesh,
Adra Junction,ADRA,West Bengal,
Aduturai,ADT,Tamil Nadu,
Agartala,AGTL,Tripura,
Agas,AGAS,Gujarat,
Agasod,AGD,Madhya Pradesh,
Ataria,AA,Uttar Pradesh,
Amb Andaura,AADR,Himachal Pradesh,
Angar,AAG,Maharashtra,
Angadippuram,AAM,Kerala,
Ambiapur,AAP,Uttar Pradesh,
Ambikeshwar,ABE,Madhya Pradesh,
Arabagatta H,ABGT,Karnataka,
Ambale,ABLE,Maharashtra,
Asthal Bohar Junction,ABO,Haryana,
Ambattur,ABU,Tamil Nadu,
Abutara Halt,ABW,West Bengal,
Ambari,ABX,Maharashtra,
Ambarnath,ABH,Maharashtra,
Ambivli,ABY,Maharashtra,
Aghwanpur,AWP,Uttar Pradesh,
Agomoni,AGMN,Assam,
Agori Khas,AGY,Uttar Pradesh,
Agra Cantonment,AGC,Uttar Pradesh,
Agra City,AGA,Uttar Pradesh,
Agra Fort,AF,Uttar Pradesh,
Ahalyapur,AHLR,Uttar Pradesh,
Ahmadgarh,AHH,Punjab,
Ahmednagar,ANG,Maharashtra,
Ahmedpur Junction,AMP,West Bengal,
Ahmedabad Junction,ADI,Gujarat,
Ahraura Road,ARW,Uttar Pradesh,
Airoli,AIRL,Maharashtra,
Aishbagh,ASH,Uttar Pradesh,
Ait,AIT,Uttar Pradesh,
Aithal,ATMO,Uttarakhand,
Ajaibpur,AJR,Uttar Pradesh,
Ajanti,ANI,Madhya Pradesh,
Ajaraka,AIA,Rajasthan,
Ajgain,AJ,Uttar Pradesh,
Ajhai,AJH,Uttar Pradesh,
Ajit,AJIT,Rajasthan,
Ajmer Junction,AII,Rajasthan,
Ajni,AJNI,Maharashtra,
Akalkot Road,AKOR,Maharashtra,
Akaltara,AKT,Chhattisgarh,
Akanapet,AKE,Andhra Pradesh,
Akbarganj,AKJ,Uttar Pradesh,
Akbarpur,ABP,Uttar Pradesh,
Akividu,AKVD,Andhra Pradesh,
Akodia,AKD,Madhya Pradesh,
Akola Junction,AK,Maharashtra,
Akolner,AKR,Maharashtra,
Akona,AKW,Uttar Pradesh,
Akot,AKOT,Maharashtra,
Akurdi,AKRD,Maharashtra,
Alamnagar,AMG,Uttar Pradesh,
Aler,ALER,Telangana,
Algapur,ALGP,Assam,
Algawan,AIG,Uttar Pradesh,
Alia Bada,ALB,Gujarat,
Aligarh Junction,ALJN,Uttar Pradesh,
Alipurduar,APD,West Bengal,
Alipurduar Junction,APDJ,West Bengal,
Allahabad City,ALY,Uttar Pradesh,
Allahabad Junction,ALD,Uttar Pradesh,
Alappuzha,ALLP,Kerala,
Almatti,LMT,Karnataka,
Alnavar Junction,LWR,Karnataka,
Alniya,ALNI,Rajasthan,
Aluabari Road,AUB,West Bengal,
Alwar,AWR,Rajasthan,
Aluva,AWY,Kerala,
Amalner,AN,Maharashtra,
Amalsad,AML,Gujarat,
Aman Vadi,AMW,Maharashtra,
Amarpura,APA,Rajasthan,
