Station Name,Station Code,State,Railway Zone,Elevation,Map,,
Abada,ABB,West Bengal,SER/South Eastern,7 m,[1],,
Argora,AOR,Jharkhand,SER/South Eastern,642 m,[2],,
Abhaipur,AHA,Bihar,ER/Eastern,52 m,[3],,
Acharya Narendra Dev,ACND,Uttar Pradesh,Northern,104 m,,,
Abhayapuri,AYU,Assam,NFR/Northeast Frontier,45 m,[4],,
Abohar,ABS,Punjab,NR/Northern,186 m,[5],,
Abu Road,ABR,Rajasthan,NWR/North Western,260 m,[6],,
Acharapakkam,ACK,Tamil Nadu,SR/Southern,39 m,[7],,
Achalganj,ACH,Uttar Pradesh,NR/Northern,133 m,[8],,
Achalpur,ELP,Maharashtra,CR/Central,388 m,[9],,
Achhalda,ULD,Uttar Pradesh,NCR/North Central,147 m,[10],,
Achhnera Junction,AH,Uttar Pradesh,NCR/North Central,170 m,,,
Adarshnagar,AHO,Rajasthan,NWR/North Western,472 m,,,
Adarshnagar Delhi,ANDI,Delhi,NR/Northern,215 m,,,
Adas Road,ADD,Gujarat,WR/Western,42 m,,,
Adesar,AAR,Gujarat,WR/Western,35 m,,,
Adgaon Buzurg,ABZ,Maharashtra,SCR/South Central,310 m,,,
Adilabad,ADB,Telangana,SCR/South Central,248 m,,,
Adipur,AI,Gujarat,WR/Western,35 m,,,
Adityapur,ADTP,Jharkhand,SER/South Eastern,152 m,,,
Adoni,AD,Andhra Pradesh,SCR/South Central,421 m,,,
Adra Junction,ADRA,West Bengal,SER/South Eastern Railway,192 m,,,
Aduturai,ADT,Tamil Nadu,SR/Southern,24 m,,,
Agartala,AGTL,Tripura,NFR/Northeast Frontier Railway,25 m,,,
Agas,AGAS,Gujarat,WR/Western,42 m,,,
Agasod,AGD,Madhya Pradesh,NCR/North Central,427 m,,,
Ataria,AA,Uttar Pradesh,NER/North Eastern,138 m,,,
Amb Andaura,AADR,Himachal Pradesh,NR/Northern,458 m,,,
Angar,AAG,Maharashtra,CR/Central,468 m,,,
Angadippuram,AAM,Kerala,SR/Southern,46 m,,,
Ambiapur,AAP,Uttar Pradesh,NCR/North Central,140 m,,,
Ambikeshwar,ABE,Madhya Pradesh,NCR/North Central,196 m,,,
Arabagatta H,ABGT,Karnataka,SCR/South Central,735 m,,,
Ambale,ABLE,Maharashtra,CR/Central,729 m,,,
Asthal Bohar Junction,ABO,Haryana,NR/Northern,223 m,,,
Ambattur,ABU,Tamil Nadu,SR/Southern,23 m,,,
Abutara Halt,ABW,West Bengal,NFR/Northeast Frontier Railway,36 m,,,
Ambari,ABX,Maharashtra,SCR/South Central,329 m,,,
Ambarnath,ABH,Maharashtra,CR/Central,23 m,,,
Ambivli,ABY,Maharashtra,CR/Central,18 m,,,
Aghwanpur,AWP,Uttar Pradesh,NR/Northern,211 m,,,
Agomoni,AGMN,Assam,NFR/Northeast Frontier,31 m,[11],,
Agori Khas,AGY,Uttar Pradesh,NCR/North Central,210 m,,,
Agra Cantonment,AGC,Uttar Pradesh,NCR/North Central,174 m,,,
Agra City,AGA,Uttar Pradesh,NCR/North Central,165 m,,,
Agra Fort,AF,Uttar Pradesh,NCR/North Central,170 m,,,
Ahalyapur,AHLR,Uttar Pradesh,NER/North Eastern,80 m,,,
Ahmadgarh,AHH,Punjab,NR/Northen,252 m,,,
Ahmednagar,ANG,Maharashtra,CR/Central,650 m,,,
Ahmedpur Junction,AMP,West Bengal,ER/Eastern Railway,46 m,,,
Ahmedabad Junction,ADI,Gujarat,WR/Western,51 m,,,
Ahraura Road,ARW,Uttar Pradesh,NCR/North Central,85 m,,,
Airoli,AIRL,Maharashtra,CR/Central,8 m,,,
Aishbagh,ASH,Uttar Pradesh,NER/North Eastern,122 m,,,
Ait,AIT,Uttar Pradesh,NCR/North Central,154 m,,,
Aithal,ATMO,Uttarakhand,NR/Northen,245 m,,,
Ajaibpur,AJR,Uttar Pradesh,NCR/North Central,206 m,,,
Ajanti,ANI,Madhya Pradesh,WR/Western,338 m,,,
Ajaraka,AIA,Rajasthan,NWR/North Western,280 m,,,
Ajgain,AJ,Uttar Pradesh,NR/Northern,128 m,,,
Ajhai,AJH,Uttar Pradesh,NFR/North Frontier,184 m,,,
Ajit,AJIT,Rajasthan,NWR/North Western,150 m,,,
Ajmer Junction,AII,Rajasthan,NWR/North Western,464 m,,,
Ajni,AJNI,Maharashtra,CR/Central,310 m,,,
Akalkot Road,AKOR,Maharashtra,CR/Central,457 m,,,
Akaltara,AKT,Chhattisgarh,SECR/South Eastern Central,284 m,,,
Akanapet,AKE,Andhra Pradesh,SCR/South Central,566 m,,,
Akbarganj,AKJ,Uttar Pradesh,NR/Northern,112 m,,,
Akbarpur,ABP,Uttar Pradesh,NR/Northern,95 m,,,
Akividu,AKVD,Andhra Pradesh,SCR/South Central,5 m,,,
Akodia,AKD,Madhya Pradesh,WR/Western,460 m,,,
Akola Junction,AK,Maharashtra,CR/Central,285 m,,,
Akolner,AKR,Maharashtra,CR/Central,692 m,,,
Akona,AKW,Uttar Pradesh,NCR/North Central,126 m,,,
Akot,AKOT,Maharashtra,SCR/South Central,308 m,,,
Akurdi,AKRD,Maharashtra,CR/Central,585 m,,,
Alamnagar,AMG,Uttar Pradesh,NR/Northern,129 m,,,
Aler,ALER,Telangana,SCR/South Central,368 m,,,
Algapur,ALGP,Assam,NFR/Northeast Frontier,25 m,[12],,
Algawan,AIG,Uttar Pradesh,NR/Northern,151 m,,,
Alia Bada,ALB,Gujarat,WR/Western,27 m,,,
Aligarh Junction,ALJN,Uttar Pradesh,NCR/North Central,191 m,,,
Alipurduar,APD,West Bengal,NFR/Northeast Frontier,49 m,,,
Alipurduar Junction,APDJ,West Bengal,NFR/Northeast Frontier Railway,53 m,,,
Allahabad City,ALY,Uttar Pradesh,NER/North Eastern,89 m,,,
Allahabad Junction,ALD,Uttar Pradesh,NCR/North Central,100 m,,,
Alappuzha,ALLP,Kerala,SR/Southern,8 m,,,
Almatti,LMT,Karnataka,SWR/South Western,535 m,,,
Alnavar Junction,LWR,Karnataka,SWR/South Western,567 m,,,
Alniya,ALNI,Rajasthan,WCR/Western Central,333 m,,,
Aluabari Road,AUB,West Bengal,NFR/Northeast Frontier Railway,69 m,,,
Alwar,AWR,Rajasthan,NWR/North Western,273 m,,,
Aluva,AWY,Kerala,SR/Southern,15 m,,,
Amalner,AN,Maharashtra,WR/Western,187 m,,,
Amalsad,AML,Gujarat,WR/Western,14 m,,,
Aman Vadi,AMW,Maharashtra,SCR/South Central,420 m,,,
Amarpura,APA,Rajasthan,NWR/North Western,468 m,,,
Amausi,AMS,Uttar Pradesh,NR/Northern,126 m,,,
Ambagaon,AGB,Odisha,ECoR/East Coast,549 m,,,
Ambala Cantonment,UMB,Haryana,NR/Northern,276 m,,,
Ambala City,UBC,Haryana,NR/Northern,272 m,,,
Ambalappuzha,AMPA,Kerala,SR/Southern,7 m,,,
Ambari Falakata,ABFC,West Bengal,NFR/Northeast Frontier,106 m,,,
Ambarnath,ABH,Maharashtra,CR/Central,23 m,,,
Ambassa,ABSA,Tripura,NFR/Northeast Frontier,90 m,,,
Ambasamudram,ASD,Tamil Nadu,SR/Southern,81 m,,,
Ambattur,ABU,Tamil Nadu,SR/Southern,19.18 m,,,
Ambaturai,ABI,Tamil Nadu,SR/Southern,306 m,,,
Ambika Kalna,ABKA,West Bengal,ER/Eastern,14 m,,,
Ambikapur,ABKP,Chhattisgarh,SECR/South East Central,615 m,,,
Ambli Road,ABD,Gujarat,WR/Western,51 m,,,
Ambliyasan,UMN,Gujarat,WR/Western,91 m,,,
Ambodala,AMB,Odisha,ECoR/East Coast,373 m,,,
Ambur,AB,Tamil Nadu,SR/Southern,332 m,,,
Amethi,AME,Uttar Pradesh,NR/Northern,108 m,,,
Amgaon,AGN,Maharashtra,SECR/South Easr Central,317 m,,,
Amguri,AGI,Assam,NFR/Northeast Frontier,104 m,[13],,
Amla Junction,AMLA,Madhya Pradesh,CR/Central,733 m,,,
Amlai,AAL,Madhya Pradesh,SECR/South East Central,494 m,,,
Amlakhurd,AMX,Madhya Pradesh,SCR/South Central,323 m,,,
Amli,AMLI,Rajasthan,WCR/Western Central,238 m,,,
Ammasandra,AMSA,Karnataka,SWR/South Western,818 m,,,
Amoni,AONI,Assam,NFR/Northeast Frontier,72 m,[14],,
Amravati,AMI,Maharashtra,CR/Central,341 m,,,
Amreli,AE,Gujarat,WR/Western,127 m,,,
Amritsar Junction,ASR,Punjab,NR/Northen,230 m,,,
Amritvel,AVL,Gujarat,WR/Western,35 m,,,
Amroha,AMRO,Uttar Pradesh,NR/Northen,216 m,,,
Anakapalle,AKP,Andhra Pradesh,SCR/South Central,32 m,,,
Anand Junction,ANND,Gujarat,WR/Western,44 m,,,
Anand Nagar,ANDN,Uttar Pradesh,NER/North Eastern,86 m,,,
Anand Vihar,ANVR,Delhi,NR/Northen,212 m,,,
Anandpur Sahib,ANSB,Punjab,NR/Northen,297 m,,,
Anandtandavpur,ANP,Tamil Nadu,SR/Southern,10 m,,,
Anantapur,ATP,Andhra Pradesh,SCR/South Central,348 m,,,
Anaparti,APT,Andhra Pradesh,SCR/South Central,19 m,,,
Anara,ANR,West Bengal,SER/South Eastern,216 m,,,
Anas,ANAS,Gujarat,WR/Western,289 m,,,
Andal Junction,UDL,West Bengal,ER/Eastern,85 m,,,
Andheri,ADH,Maharashtra,WR/Western,14 m,,,
Angamaly,AFK,Kerala,SR/Southern,17 m,,,
Angul,ANGL,Odisha,ECoR/East Coastal Railway,119 m,,,
Anipur,APU,Assam,NFR/Northeast Frontier,40 m,[15],,
Anjangaon,ANJ,Maharashtra,CR/Central,347 m,[9],,
Anjani,ANO,Maharashtra,KR/Konkan,27 m,,,
Anjar,AJE,Gujarat,WR/Western,53 m,,,
Anjhi Shahabad,AJI,Uttar Pradesh,NR/Northen,149 m,,,
Ankai,ANK,Maharashtra,CR/Central,622 m,,,
Ankleshwar Junction,AKV,Gujarat,WR/Western,19 m,,,
Ankola,ANKL,Karnataka,KR/Konkan,19 m,,,
Annanur,ANNR,Tamil Nadu,SR/Southern,24.28 m,,,
Annavaram,ANV,Andhra Pradesh,SCR/South Central,28 m,,,
Annigeri,NGR,Karnataka,SWR/South Western,635 m,,,
Anpara,ANPR,Uttar Pradesh,ECR/East Central,330 m,,,
Antah,ATH,Rajasthan,WCR/West Central,249 m,,,
Antu,ANTU,Uttar Pradesh,NR/Northern,101 m,,,
Anugraha Narayan Road,AUBR,Bihar,ECR/East Central,104 m,,,
Anupgarh,APH,Rajasthan,NWR/North Western,154 m,,,
Anuppur Junction,APR,Madhya Pradesh,SECR/South Eastern Central,489 m,,,
Anupshahr,AUS,Uttar Pradesh,NWR/North Western,205 m,,,
Aonla,AO,Uttar Pradesh,NR/Northen,176 m,,,
Ara,ARA,Bihar,ECR/East Central,63 m,,,
Arakkonam Junction,AJJ,Tamil Nadu,SR/Southern railway,92 m,,,
Araku,ARK,Andhra Pradesh,ECoR/East Coast,925 m,,,
Aralvaymozhi,AAY,Tamil Nadu,SR/Southern,78 m,,,
Arariya,ARR,Bihar,NFR/North East Frontier,57 m,,,
Arariya Court,ARQ,Bihar,NFR/North East Frontier,53 m,,,
Arasur,ARS,Tamil Nadu,SR/Southern,6 m,,,
Aravalli Road,AVRD,Maharashtra,KR/Konkan,108 m,,,
Arunachal,ARCL,Assam,NFR/Northeast Frontier,22 m,[16],,
Aravankadu,AVK,Tamil Nadu,SR/Southern,1888 m,,,
Ariyalur,ALU,Tamil Nadu,SR/Southern,,,,
Arjansar,AS,Rajasthan,NWR/North Western,199 m,,,
Arnetha,ARE,Rajasthan,WCR/Western Central,238 m,,,
Arni Road,ARV,Tamil Nadu,SR/Southern,173 m,,,
Arsikere Junction,ASK,Karnataka,SWR/South Western,815 m,,,
Aruppukottai,APK,Tamil Nadu,SR/Southern,102 m,,,
Arvi,ARVI,Maharashtra,CR/Central,303 m,,,
Aryankavu,AYV,Kerala,SR/Southern,274 m,,,
Asafpur,AFR,Uttar Pradesh,NR/Northen,186 m,,,
Asalpur Jobner,JOB,Rajasthan,NWR/North Western,378 m,,,
Asangaon,ASO,Maharashtra,CR/Central,77 m,,,
Asansol Junction,ASN,West Bengal,ER/Eastrn,114 m,,,
Asaoti,AST,Haryana,NR/Northen,200 m,,,
Ashok Nagar,ASKN,Madhya Pradesh,WCR/West Central,502 m,,,
Aslana,ANA,Madhya Pradesh,WCR/West Central,373 m,,,
Aslaoda,ASL,Madhya Pradesh,WR/Western,490 m,,,
Asnoti,AT,Karnataka,KR/Konkan,6 m,,,
Asokhar,AXK,Madhya Pradesh,NCR/North Central,159 m,,,
Asranada,AAS,Rajasthan,NWR/North Western,251 m,,,
Atari,ATT,Punjab,NR/Northen,223 m,,,
Atarra,ATE,Uttar Pradesh,NCR/North Central,139 m,,,
Ateli,AEL,Haryana,NWR/North Western,286 m,,,
Atgaon,ATG,Maharashtra,CR/Central,147 m,,,
Athipattu,AIP,Tamil Nadu,SR/Southern,7 m,,,
Athipattu Pudhunagar,AIPP,Tamil Nadu,SR/Southern,4 m,,,
Atrampur,ARP,Uttar Pradesh,NR/Northen,105 m,,,
Atrauli Road,AUR,Uttar Pradesh,NR/Northen,190 m,,,
Atru,ATRU,Rajasthan,WCR/West Central,288 m,,,
Attabira,ATS,Odisha,ECoR/East Coast,162 m,,,
Attar,ATR,Madhya Pradesh,WR/Western,273 m,,,
Attur,ATTR,Tamil Nadu,SR/Southern,227 m,,,
Aujari,AJRE,Assam,NFR/Northeast Frontier,60 m,[17],,
Aulenda,AED,Uttar Pradesh,NCR/North Central,179 m,,,
Aunrihar Junction,ARJ,Uttar Pradesh,NER/North Eastern,79 m,,,
Aurangabad,AWB,Maharashtra,SCR/South Central,558 m,,,
Auvaneswarem,AVS,Kerala,SR/Southern,22 m,,,
Auwa,AUWA,Rajasthan,NWR/North Western,265 m,,,
Avadi,AVD,Tamil Nadu,SR/Southern,26.85 m,,,
Ayodhya,AY,Uttar Pradesh,NR/Northen,98 m,,,
Azamgarh,AMH,Uttar Pradesh,NER/North Eastern,81 m,,,
Azamnagar Road,AZR,Bihar,NFR/Northeast Frontier,34 m,,,
Azara,AZA,Assam,NFR/Northeast Frontier,51 m,[18],,
Azimganj City,ACLE,West Bengal,ER/Eastern,25 m,,,
Azimganj Junction,AZ,West Bengal,ER/Eastern,26 m,,,
,,,,,,,
B[edit],,,,,,,
,,,,,,,
